sentence_type,item_id,PLUS_FILLER_PLUS_GAP,MINUS_FILLER_PLUS_GAP,PLUS_FILLER_MINUS_GAP,MINUS_FILLER_MINUS_GAP,delta_plus_filler,delta_minus_filler,did_effect,success_delta_plus_filler,success_did
lan_parasitic_gap,114,20.79897950,21.54368281,18.51422520,19.39509440,-2.28475430,-2.14858841,-0.13616589,False,False
lan_parasitic_gap,115,21.48018115,22.55415219,18.51422520,17.35652591,-2.96595595,-5.19762628,2.23167033,False,True
lan_parasitic_gap,116,21.48018115,22.55415219,4.09999071,5.66545044,-17.38019044,-16.88870175,-0.49148869,False,False
lan_parasitic_gap,117,21.48018115,22.55415219,8.11709714,7.38511408,-13.36308401,-15.16903811,1.80595410,False,True
lan_parasitic_gap,118,21.48018115,22.89295469,18.51422520,19.39509440,-2.96595595,-3.49786029,0.53190434,False,True
lan_parasitic_gap,119,21.48018115,22.89295469,4.09999071,4.75938890,-17.38019044,-18.13356579,0.75337535,False,True
lan_parasitic_gap,120,21.48018115,22.89295469,8.11709714,7.75346874,-13.36308401,-15.13948595,1.77640194,False,True
lan_parasitic_gap,121,20.12147693,20.80569092,8.84504932,9.03920289,-11.27642761,-11.76648803,0.49006042,False,True
lan_parasitic_gap,122,20.12147693,20.80569092,5.27933620,7.71884695,-14.84214073,-13.08684397,-1.75529676,False,False
lan_parasitic_gap,123,20.12147693,20.80569092,18.34934680,16.46537030,-1.77213013,-4.34032062,2.56819049,False,True
lan_parasitic_gap,124,20.12147693,20.60869380,8.84504932,9.10858787,-11.27642761,-11.50010593,0.22367832,False,True
lan_parasitic_gap,125,20.12147693,20.60869380,5.27933620,6.83100954,-14.84214073,-13.77768426,-1.06445647,False,False
lan_parasitic_gap,126,20.12147693,20.60869380,18.34934680,18.55708334,-1.77213013,-2.05161046,0.27948033,False,True
lan_parasitic_gap,127,22.15666807,22.31637873,5.27933620,7.71884695,-16.87733187,-14.59753178,-2.27980009,False,False
lan_parasitic_gap,128,22.15666807,22.31637873,8.84504932,9.03920289,-13.31161875,-13.27717584,-0.03444291,False,False
lan_parasitic_gap,129,22.15666807,22.31637873,18.34934680,16.46537030,-3.80732127,-5.85100843,2.04368716,False,True
lan_parasitic_gap,130,22.15666807,22.40885116,5.27933620,6.83100954,-16.87733187,-15.57784162,-1.29949025,False,False
lan_parasitic_gap,131,22.15666807,22.40885116,8.84504932,9.10858787,-13.31161875,-13.30026329,-0.01135546,False,False
lan_parasitic_gap,132,22.15666807,22.40885116,18.34934680,18.55708334,-3.80732127,-3.85176782,0.04444655,False,True
lan_parasitic_gap,133,19.33619205,19.82911189,8.28614349,8.39749358,-11.05004856,-11.43161831,0.38156975,False,True
lan_parasitic_gap,134,19.33619205,19.82911189,19.12259528,17.53889411,-0.21359677,-2.29021778,2.07662101,False,True
lan_parasitic_gap,135,19.33619205,19.82911189,4.87184265,6.79605303,-14.46434940,-13.03305886,-1.43129054,False,False
lan_parasitic_gap,136,19.33619205,19.56882951,8.28614349,8.40244780,-11.05004856,-11.16638171,0.11633315,False,True
lan_parasitic_gap,137,19.33619205,19.56882951,19.12259528,19.91186055,-0.21359677,0.34303104,-0.55662781,False,False
lan_parasitic_gap,138,19.33619205,19.56882951,4.87184265,5.96280432,-14.46434940,-13.60602519,-0.85832421,False,False
lan_parasitic_gap,139,23.48205036,23.48667275,4.87184265,6.79605303,-18.61020771,-16.69061972,-1.91958799,False,False
lan_parasitic_gap,140,23.48205036,23.48667275,8.28614349,8.39749358,-15.19590687,-15.08917917,-0.10672770,False,False
lan_parasitic_gap,141,23.48205036,23.48667275,19.12259528,17.53889411,-4.35945508,-5.94777864,1.58832356,False,True
lan_parasitic_gap,142,23.48205036,23.66885917,4.87184265,5.96280432,-18.61020771,-17.70605485,-0.90415286,False,False
lan_parasitic_gap,143,23.48205036,23.66885917,8.28614349,8.40244780,-15.19590687,-15.26641137,0.07050450,False,True
lan_parasitic_gap,144,23.48205036,23.66885917,19.12259528,19.91186055,-4.35945508,-3.75699862,-0.60245646,False,False
lan_parasitic_gap,145,23.27556319,24.58379184,7.04421389,7.51122005,-16.23134930,-17.07257179,0.84122249,False,True
lan_parasitic_gap,146,23.27556319,24.58379184,20.60252050,18.89758102,-2.67304269,-5.68621082,3.01316813,False,True
lan_parasitic_gap,147,23.27556319,24.58379184,3.30649401,4.31148259,-19.96906918,-20.27230925,0.30324007,False,True
lan_parasitic_gap,148,23.27556319,24.39768851,7.04421389,7.60888473,-16.23134930,-16.78880378,0.55745448,False,True
lan_parasitic_gap,149,23.27556319,24.39768851,20.60252050,20.24268351,-2.67304269,-4.15500500,1.48196231,False,True
lan_parasitic_gap,150,23.27556319,24.39768851,3.30649401,3.75278162,-19.96906918,-20.64490689,0.67583771,False,True
lan_parasitic_gap,151,24.73905756,25.73421995,3.30649401,4.31148259,-21.43256355,-21.42273736,-0.00982619,False,False
lan_parasitic_gap,152,24.73905756,25.73421995,20.60252050,18.89758102,-4.13653706,-6.83663893,2.70010187,False,True
lan_parasitic_gap,153,24.73905756,25.73421995,7.04421389,7.51122005,-17.69484367,-18.22299990,0.52815623,False,True
lan_parasitic_gap,154,24.73905756,26.03314203,3.30649401,3.75278162,-21.43256355,-22.28036041,0.84779686,False,True
lan_parasitic_gap,155,24.73905756,26.03314203,20.60252050,20.24268351,-4.13653706,-5.79045852,1.65392146,False,True
lan_parasitic_gap,156,24.73905756,26.03314203,7.04421389,7.60888473,-17.69484367,-18.42425730,0.72941363,False,True
lan_parasitic_gap,157,23.92221950,24.76351557,19.03572195,17.78793212,-4.88649755,-6.97558345,2.08908590,False,True
lan_parasitic_gap,158,23.92221950,24.76351557,4.44116067,5.94620755,-19.48105883,-18.81730802,-0.66375081,False,False
lan_parasitic_gap,159,23.92221950,24.76351557,8.04284163,7.99503937,-15.87937787,-16.76847620,0.88909833,False,True
lan_parasitic_gap,160,23.92221950,24.38639653,19.03572195,19.56403543,-4.88649755,-4.82236110,-0.06413645,False,False
lan_parasitic_gap,161,23.92221950,24.38639653,4.44116067,5.44467049,-19.48105883,-18.94172604,-0.53933279,False,False
lan_parasitic_gap,162,23.92221950,24.38639653,8.04284163,8.15204499,-15.87937787,-16.23435154,0.35497367,False,True
lan_parasitic_gap,163,27.44709137,27.33755331,4.44116067,5.44467049,-23.00593070,-21.89288282,-1.11304788,False,False
lan_parasitic_gap,164,27.44709137,27.33755331,19.03572195,19.56403543,-8.41136942,-7.77351788,-0.63785154,False,False
lan_parasitic_gap,165,27.44709137,27.33755331,8.04284163,8.15204499,-19.40424974,-19.18550832,-0.21874142,False,False
lan_parasitic_gap,166,27.44709137,27.29243591,4.44116067,5.94620755,-23.00593070,-21.34622836,-1.65970234,False,False
lan_parasitic_gap,167,27.44709137,27.29243591,19.03572195,17.78793212,-8.41136942,-9.50450379,1.09313437,False,True
