sentence_type,item_id,fillertype_effect_plus_gap,fillertype_effect_minus_gap
lan_parasitic_gap,1302,-0.82080403,-0.16640477
lan_parasitic_gap,1303,0.27033220,1.87642399
lan_parasitic_gap,1304,0.27033220,-1.75403007
lan_parasitic_gap,1305,0.27033220,-0.17416936
lan_parasitic_gap,1306,0.00880910,-0.08041871
lan_parasitic_gap,1307,0.00880910,-1.40337727
lan_parasitic_gap,1308,0.00880910,-0.16640477
lan_parasitic_gap,1309,-1.38848866,-0.34321571
lan_parasitic_gap,131,-0.25218309,-0.26353855
lan_parasitic_gap,1310,-1.38848866,-2.15199462
lan_parasitic_gap,1311,-1.38848866,1.59509413
lan_parasitic_gap,1312,-0.94813773,-0.38884238
lan_parasitic_gap,1313,-0.94813773,-1.83861673
lan_parasitic_gap,1314,-0.94813773,-0.45079026
lan_parasitic_gap,1315,-0.13459479,-1.83861673
lan_parasitic_gap,1316,-0.13459479,-0.38884238
lan_parasitic_gap,1317,-0.13459479,-0.45079026
lan_parasitic_gap,1318,-0.31857015,-2.15199462
lan_parasitic_gap,1319,-0.31857015,-0.34321571
lan_parasitic_gap,132,-0.25218309,-0.20773654
lan_parasitic_gap,1320,-0.31857015,1.59509413
lan_parasitic_gap,1321,-0.26006165,-0.73821263
lan_parasitic_gap,1322,-0.26006165,-2.16761323
lan_parasitic_gap,1323,-0.26006165,-1.01978774
lan_parasitic_gap,1324,-0.78473665,-0.80168111
lan_parasitic_gap,1325,-0.78473665,-2.17583660
lan_parasitic_gap,1326,-0.78473665,1.91819146
lan_parasitic_gap,1327,0.24162400,-0.80168111
lan_parasitic_gap,1328,0.24162400,-2.17583660
lan_parasitic_gap,1329,0.24162400,1.91819146
lan_parasitic_gap,133,-0.49291984,-0.11135009
lan_parasitic_gap,1330,0.31884426,-0.73821263
lan_parasitic_gap,1331,0.31884426,-2.16761323
lan_parasitic_gap,1332,0.31884426,-1.01978774
lan_parasitic_gap,1333,-1.89976536,0.37892529
lan_parasitic_gap,1334,-1.89976536,1.58729492
lan_parasitic_gap,1335,-1.89976536,-2.08056967
lan_parasitic_gap,1336,-1.40041975,-0.00419103
lan_parasitic_gap,1337,-1.40041975,-0.67710584
lan_parasitic_gap,1338,-1.40041975,-1.85995996
lan_parasitic_gap,1339,-0.57316976,0.37892529
lan_parasitic_gap,134,-0.49291984,1.58370117
lan_parasitic_gap,1340,-0.57316976,-2.08056967
lan_parasitic_gap,1341,-0.57316976,1.58729492
lan_parasitic_gap,1342,-0.63878785,-0.00419103
lan_parasitic_gap,1343,-0.63878785,-1.85995996
lan_parasitic_gap,1344,-0.63878785,-0.67710584
lan_parasitic_gap,1345,-1.82591812,-0.04078210
lan_parasitic_gap,1346,-1.82591812,-0.27175037
lan_parasitic_gap,1347,-1.82591812,-2.42392820
lan_parasitic_gap,1348,-2.27265442,2.25243938
lan_parasitic_gap,1349,-2.27265442,0.04358959
lan_parasitic_gap,135,-0.49291984,-1.92421038
lan_parasitic_gap,1350,-2.27265442,-2.75406011
lan_parasitic_gap,1351,-1.24659816,-2.42392820
lan_parasitic_gap,1352,-1.24659816,-0.27175037
lan_parasitic_gap,1353,-1.24659816,-0.04078210
lan_parasitic_gap,1354,-1.23897207,-2.75406011
lan_parasitic_gap,1355,-1.23897207,0.04358959
lan_parasitic_gap,1356,-1.23897207,2.25243938
lan_parasitic_gap,1357,-0.68886091,-0.83142660
lan_parasitic_gap,1358,-0.68886091,-3.38621589
lan_parasitic_gap,1359,-0.68886091,-0.21437871
lan_parasitic_gap,136,-0.23263746,-0.11630431
lan_parasitic_gap,1360,-1.57632755,1.91025808
lan_parasitic_gap,1361,-1.57632755,-3.37899232
lan_parasitic_gap,1362,-1.57632755,-0.01866559
lan_parasitic_gap,1363,-0.56549173,-0.83142660
lan_parasitic_gap,1364,-0.56549173,-0.21437871
lan_parasitic_gap,1365,-0.56549173,-3.38621589
lan_parasitic_gap,1366,-0.76761042,1.91025808
lan_parasitic_gap,1367,-0.76761042,-0.01866559
lan_parasitic_gap,1368,-0.76761042,-3.37899232
lan_parasitic_gap,1369,-1.26191526,-1.69557063
lan_parasitic_gap,137,-0.23263746,-0.78926527
lan_parasitic_gap,1370,-1.26191526,0.39040482
lan_parasitic_gap,1371,-1.26191526,1.75749254
lan_parasitic_gap,1372,-0.81772821,-1.29097113
lan_parasitic_gap,1373,-0.81772821,0.15569132
lan_parasitic_gap,1374,-0.81772821,-0.33610034
lan_parasitic_gap,1375,-0.37008590,0.39040482
lan_parasitic_gap,1376,-0.37008590,1.75749254
lan_parasitic_gap,1377,-0.37008590,-1.69557063
lan_parasitic_gap,1378,-0.24164709,0.15569132
lan_parasitic_gap,1379,-0.24164709,-0.33610034
lan_parasitic_gap,138,-0.23263746,-1.09096167
lan_parasitic_gap,1380,-0.24164709,-1.29097113
lan_parasitic_gap,1381,-1.61756122,0.03192972
lan_parasitic_gap,1382,-1.61756122,1.86691086
lan_parasitic_gap,1383,-1.61756122,-2.52384060
lan_parasitic_gap,1384,-1.10300095,-0.19316533
lan_parasitic_gap,1385,-1.10300095,-0.13674585
lan_parasitic_gap,1386,-1.10300095,-2.11057628
lan_parasitic_gap,1387,-0.48695286,0.03192972
lan_parasitic_gap,1388,-0.48695286,1.86691086
lan_parasitic_gap,1389,-0.48695286,-2.52384060
lan_parasitic_gap,139,-0.00462239,-1.92421038
lan_parasitic_gap,1390,-0.24229775,-0.19316533
lan_parasitic_gap,1391,-0.24229775,-0.13674585
lan_parasitic_gap,1392,-0.24229775,-2.11057628
lan_parasitic_gap,1393,-1.20236513,0.11351125
lan_parasitic_gap,1394,-1.20236513,-2.63073565
lan_parasitic_gap,1395,-1.20236513,1.45936827
lan_parasitic_gap,1396,-0.44034659,0.07862976
lan_parasitic_gap,1397,-0.44034659,-2.49335501
lan_parasitic_gap,1398,-0.44034659,-1.10968784
lan_parasitic_gap,1399,0.19173994,-2.49335501
lan_parasitic_gap,14,-0.12134219,-2.43190054
lan_parasitic_gap,140,-0.00462239,-0.11135009
lan_parasitic_gap,1400,0.19173994,0.07862976
lan_parasitic_gap,1401,0.19173994,-1.10968784
lan_parasitic_gap,1402,-0.06678524,-2.63073565
lan_parasitic_gap,1403,-0.06678524,0.11351125
lan_parasitic_gap,1404,-0.06678524,1.45936827
lan_parasitic_gap,1405,-1.88553461,-1.36836883
lan_parasitic_gap,1406,-1.88553461,-0.34161143
lan_parasitic_gap,1407,-1.88553461,-1.34756517
lan_parasitic_gap,1408,-1.93471032,-1.66847104
lan_parasitic_gap,1409,-1.93471032,0.00874562
lan_parasitic_gap,141,-0.00462239,1.58370117
lan_parasitic_gap,1410,-1.93471032,1.23274541
lan_parasitic_gap,1411,-0.84591269,-0.34161143
lan_parasitic_gap,1412,-0.84591269,-1.36836883
lan_parasitic_gap,1413,-0.84591269,-1.34756517
lan_parasitic_gap,1414,-0.55883802,0.00874562
lan_parasitic_gap,1415,-0.55883802,-1.66847104
lan_parasitic_gap,1416,-0.55883802,1.23274541
lan_parasitic_gap,1417,-1.87134715,-1.79436350
lan_parasitic_gap,1418,-1.87134715,-0.71923686
lan_parasitic_gap,1419,-1.87134715,-0.56449050
lan_parasitic_gap,142,-0.18680881,-1.09096167
lan_parasitic_gap,1420,-1.98687384,-2.19899329
lan_parasitic_gap,1421,-1.98687384,1.69080685
lan_parasitic_gap,1422,-1.98687384,-0.38329089
lan_parasitic_gap,1423,-0.68420823,-0.38329089
lan_parasitic_gap,1424,-0.68420823,1.69080685
lan_parasitic_gap,1425,-0.68420823,-2.19899329
lan_parasitic_gap,1426,-0.82007259,-0.56449050
lan_parasitic_gap,1427,-0.82007259,-0.71923686
lan_parasitic_gap,1428,-0.82007259,-1.79436350
lan_parasitic_gap,1429,-1.46373675,-0.64282596
lan_parasitic_gap,143,-0.18680881,-0.11630431
lan_parasitic_gap,1430,-1.46373675,1.38609379
lan_parasitic_gap,1431,-1.46373675,-2.50608825
lan_parasitic_gap,1432,-0.95000892,-0.67260751
lan_parasitic_gap,1433,-0.95000892,-1.67904023
lan_parasitic_gap,1434,-0.95000892,-2.51033554
lan_parasitic_gap,1435,-0.50470377,-2.50608825
lan_parasitic_gap,1436,-0.50470377,-0.64282596
lan_parasitic_gap,1437,-0.50470377,1.38609379
lan_parasitic_gap,1438,-0.43519184,-2.51033554
lan_parasitic_gap,1439,-0.43519184,-0.67260751
lan_parasitic_gap,144,-0.18680881,-0.78926527
lan_parasitic_gap,1440,-0.43519184,-1.67904023
lan_parasitic_gap,1441,-1.25271231,-0.62901071
lan_parasitic_gap,1442,-1.25271231,-1.57986360
lan_parasitic_gap,1443,-1.25271231,-0.03525658
lan_parasitic_gap,1444,-1.38709358,1.36239319
lan_parasitic_gap,1445,-1.38709358,-1.87937719
lan_parasitic_gap,1446,-1.38709358,-0.01284287
lan_parasitic_gap,1447,-0.57724249,-0.62901071
lan_parasitic_gap,1448,-0.57724249,-1.57986360
lan_parasitic_gap,1449,-0.57724249,-0.03525658
lan_parasitic_gap,145,-1.30822865,-0.46700616
